X,Y,Filename,Date and t,Camera man,Latitude,Longitude,GPS Direct,LIEN_PHOTO
-60.879943,14.40416,rivages_1474991633960_photo_2.jpg,2016:09:27 11:34:55,SAMSUNG SM-G357FZ,14.404159999999999,-60.879942999999997,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1474991633960_photo_2.jpg
-60.878784,14.403451,rivages_1474991633960_photo_3.jpg,2016:09:27 11:37:35,SAMSUNG SM-G357FZ,14.403451000000000,-60.878784000000003,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1474991633960_photo_3.jpg
-60.876995,14.402069,rivages_1474991633960_photo_4.jpg,2016:09:27 11:42:06,SAMSUNG SM-G357FZ,14.402068999999999,-60.876995000000001,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1474991633960_photo_4.jpg
-60.876457,14.401353,rivages_1474991633960_photo_5.jpg,2016:09:27 11:44:14,SAMSUNG SM-G357FZ,14.401353000000000,-60.876457000000002,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1474991633960_photo_5.jpg
-60.875961,14.400191,rivages_1474991633960_photo_6.jpg,2016:09:27 11:46:28,SAMSUNG SM-G357FZ,14.400191000000000,-60.875960999999997,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1474991633960_photo_6.jpg
-60.886272,14.426553,rivages_1475000347678_photo_1.jpg,2016:09:27 14:18:59,SAMSUNG SM-G357FZ,14.426553000000000,-60.886271999999998,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1475000347678_photo_1.jpg
-60.879862,14.439468,rivages_1475001931339_photo_1.jpg,2016:09:27 14:33:28,SAMSUNG SM-G357FZ,14.439468000000000,-60.879862000000003,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1475001931339_photo_1.jpg
-60.880237,14.440879,rivages_1475001931339_photo_2.jpg,2016:09:27 14:35:52,SAMSUNG SM-G357FZ,14.440879000000001,-60.880237000000001,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1475001931339_photo_2.jpg
-60.880235,14.44088,rivages_1475001931339_photo_3.jpg,2016:09:27 14:36:01,SAMSUNG SM-G357FZ,14.440880000000000,-60.880234999999999,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1475001931339_photo_3.jpg
-60.882253,14.444456,rivages_1475001931339_photo_4.jpg,2016:09:27 14:42:05,SAMSUNG SM-G357FZ,14.444456000000001,-60.882252999999999,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1475001931339_photo_4.jpg
-60.882261,14.44445,rivages_1475001931339_photo_5.jpg,2016:09:27 14:42:21,SAMSUNG SM-G357FZ,14.444450000000000,-60.882261000000000,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1475001931339_photo_5.jpg
-60.883025,14.445217,rivages_1475001931339_photo_6.jpg,2016:09:27 14:44:08,SAMSUNG SM-G357FZ,14.445217000000000,-60.883025000000004,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1475001931339_photo_6.jpg
-60.883364,14.445693,rivages_1475001931339_photo_7.jpg,2016:09:27 14:45:26,SAMSUNG SM-G357FZ,14.445693000000000,-60.883364000000000,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1475001931339_photo_7.jpg
-60.883388,14.445739,rivages_1475002180138_photo_1.jpg,2016:09:27 14:47:31,SAMSUNG SM-G357FZ,14.445739000000000,-60.883387999999997,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1475002180138_photo_1.jpg
-60.883543,14.446016,rivages_1475002180138_photo_2.jpg,2016:09:27 14:48:24,SAMSUNG SM-G357FZ,14.446016000000000,-60.883543000000003,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1475002180138_photo_2.jpg
-60.883757,14.446493,rivages_1475002180138_photo_3.jpg,2016:09:27 14:49:25,SAMSUNG SM-G357FZ,14.446493000000000,-60.883757000000003,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1475002180138_photo_3.jpg
-60.883748,14.446493,rivages_1475002180138_photo_4.jpg,2016:09:27 14:49:33,SAMSUNG SM-G357FZ,14.446493000000000,-60.883747999999997,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1475002180138_photo_4.jpg
-60.883997,14.446895,rivages_1475002790897_photo_1.jpg,2016:09:27 14:54:12,SAMSUNG SM-G357FZ,14.446895000000000,-60.883997000000001,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1475002790897_photo_1.jpg
-60.8841,14.448273,rivages_1475002790897_photo_2.jpg,2016:09:27 14:58:37,SAMSUNG SM-G357FZ,14.448273000000000,-60.884099999999997,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1475002790897_photo_2.jpg
-60.884097,14.448274,rivages_1475002790897_photo_3.jpg,2016:09:27 14:58:47,SAMSUNG SM-G357FZ,14.448274000000000,-60.884096999999997,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1475002790897_photo_3.jpg
-60.883965,14.449243,rivages_1475003466096_photo_1.jpg,2016:09:27 15:02:39,SAMSUNG SM-G357FZ,14.449242999999999,-60.883965000000003,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1475003466096_photo_1.jpg
-60.883959,14.449254,rivages_1475003466096_photo_2.jpg,2016:09:27 15:02:55,SAMSUNG SM-G357FZ,14.449254000000000,-60.883958999999997,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1475003466096_photo_2.jpg
-60.883885,14.449843,rivages_1475003466096_photo_3.jpg,2016:09:27 15:04:17,SAMSUNG SM-G357FZ,14.449843000000000,-60.883884999999999,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1475003466096_photo_3.jpg
-60.883684,14.450106,rivages_1475003466096_photo_4.jpg,2016:09:27 15:05:04,SAMSUNG SM-G357FZ,14.450106000000000,-60.883684000000002,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1475003466096_photo_4.jpg
-60.883588,14.45041,rivages_1475003466096_photo_5.jpg,2016:09:27 15:05:47,SAMSUNG SM-G357FZ,14.450410000000000,-60.883588000000003,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1475003466096_photo_5.jpg
-60.883873,14.45157,rivages_1475003466096_photo_6.jpg,2016:09:27 15:07:57,SAMSUNG SM-G357FZ,14.451570000000000,-60.883873000000001,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1475003466096_photo_6.jpg
-60.883872,14.451576,rivages_1475003466096_photo_7.jpg,2016:09:27 15:08:12,SAMSUNG SM-G357FZ,14.451575999999999,-60.883871999999997,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1475003466096_photo_7.jpg
-60.883792,14.451921,rivages_1475003466096_photo_8.jpg,2016:09:27 15:09:03,SAMSUNG SM-G357FZ,14.451921000000000,-60.883792000000000,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1475003466096_photo_8.jpg
-60.883799,14.451925,rivages_1475003466096_photo_9.jpg,2016:09:27 15:09:13,SAMSUNG SM-G357FZ,14.451924999999999,-60.883799000000003,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1475003466096_photo_9.jpg
-60.881925,14.4442,rivages_1475005417049_photo_1.jpg,2016:09:27 15:34:15,SAMSUNG SM-G357FZ,14.444200000000000,-60.881925000000003,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1475005417049_photo_1.jpg
-60.881336,14.44355,rivages_1475005417049_photo_2.jpg,2016:09:27 15:36:08,SAMSUNG SM-G357FZ,14.443550000000000,-60.881335999999997,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1475005417049_photo_2.jpg
-60.880545,14.441932,rivages_1475005417049_photo_3.jpg,2016:09:27 15:39:05,SAMSUNG SM-G357FZ,14.441932000000000,-60.880544999999998,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1475005417049_photo_3.jpg
-60.816072,14.473266,rivages_1475757663617_photo_1.jpg,2016:10:06 08:33:13,SAMSUNG SM-G357FZ,14.473266000000001,-60.816071999999998,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1475757663617_photo_1.jpg
-60.816072,14.47326,rivages_1475757663617_photo_2.jpg,2016:10:06 08:33:24,SAMSUNG SM-G357FZ,14.473260000000000,-60.816071999999998,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1475757663617_photo_2.jpg
-60.814002,14.473866,rivages_1475757663617_photo_3.jpg,2016:10:06 08:38:47,SAMSUNG SM-G357FZ,14.473865999999999,-60.814002000000002,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1475757663617_photo_3.jpg
-60.814002,14.473868,rivages_1475757663617_photo_4.jpg,2016:10:06 08:38:58,SAMSUNG SM-G357FZ,14.473868000000000,-60.814002000000002,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1475757663617_photo_4.jpg
-60.813562,14.473951,rivages_1475757663617_photo_5.jpg,2016:10:06 08:40:45,SAMSUNG SM-G357FZ,14.473951000000000,-60.813561999999997,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1475757663617_photo_5.jpg
-60.813628,14.474021,rivages_1475758722119_photo_1.jpg,2016:10:06 08:48:19,SAMSUNG SM-G357FZ,14.474021000000000,-60.813628000000001,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1475758722119_photo_1.jpg
-60.813683,14.475062,rivages_1475758722119_photo_2.jpg,2016:10:06 08:51:06,SAMSUNG SM-G357FZ,14.475061999999999,-60.813682999999997,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1475758722119_photo_2.jpg
-60.813695,14.475061,rivages_1475758722119_photo_3.jpg,2016:10:06 08:51:17,SAMSUNG SM-G357FZ,14.475061000000000,-60.813695000000003,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1475758722119_photo_3.jpg
-60.813427,14.476334,rivages_1475758722119_photo_4.jpg,2016:10:06 08:55:02,SAMSUNG SM-G357FZ,14.476334000000000,-60.813426999999997,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1475758722119_photo_4.jpg
-60.813434,14.476333,rivages_1475758722119_photo_5.jpg,2016:10:06 08:55:13,SAMSUNG SM-G357FZ,14.476333000000000,-60.813434000000001,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1475758722119_photo_5.jpg
-60.813392,14.476609,rivages_1475758722119_photo_6.jpg,2016:10:06 08:56:23,SAMSUNG SM-G357FZ,14.476609000000000,-60.813392000000000,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1475758722119_photo_6.jpg
-60.813389,14.476609,rivages_1475758722119_photo_7.jpg,2016:10:06 08:56:39,SAMSUNG SM-G357FZ,14.476609000000000,-60.813389000000001,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1475758722119_photo_7.jpg
-60.812978,14.477016,rivages_1475758722119_photo_8.jpg,2016:10:06 08:58:19,SAMSUNG SM-G357FZ,14.477016000000001,-60.812978000000001,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1475758722119_photo_8.jpg
-60.813064,14.476953,rivages_1475759637995_photo_1.jpg,2016:10:06 09:06:29,SAMSUNG SM-G357FZ,14.476953000000000,-60.813063999999997,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1475759637995_photo_1.jpg
-60.813071,14.476954,rivages_1475759637995_photo_2.jpg,2016:10:06 09:06:46,SAMSUNG SM-G357FZ,14.476953999999999,-60.813071000000001,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1475759637995_photo_2.jpg
