X,Y,Filename,Date and t,Camera man,Latitude,Longitude,GPS Direct,LIEN_PHOTO
-61.130756,14.633515,rivages_1476801767099_photo_3.jpg,2016:10:18 10:40:14,SAMSUNG SM-G357FZ,14.633514999999999,-61.130755999999998,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1476801767099_photo_3.jpg
-61.13005,14.63322,rivages_1476801767099_photo_4.jpg,2016:10:18 10:42:36,SAMSUNG SM-G357FZ,14.633220000000000,-61.130049999999997,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1476801767099_photo_4.jpg
-61.154005,14.655824,rivages_1476803551531_photo_1.jpg,2016:10:18 11:11:57,SAMSUNG SM-G357FZ,14.655824000000001,-61.154004999999998,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1476803551531_photo_1.jpg
-61.154007,14.655815,rivages_1476803551531_photo_2.jpg,2016:10:18 11:12:08,SAMSUNG SM-G357FZ,14.655815000000000,-61.154007000000000,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1476803551531_photo_2.jpg
-61.180461,14.697444,rivages_1476806722453_photo_1.jpg,2016:10:18 11:56:44,SAMSUNG SM-G357FZ,14.697444000000001,-61.180461000000001,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1476806722453_photo_1.jpg
-61.180468,14.697446,rivages_1476806722453_photo_2.jpg,2016:10:18 11:56:53,SAMSUNG SM-G357FZ,14.697445999999999,-61.180467999999998,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1476806722453_photo_2.jpg
-61.181073,14.698679,rivages_1476806722453_photo_3.jpg,2016:10:18 12:00:01,SAMSUNG SM-G357FZ,14.698679000000000,-61.181072999999998,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1476806722453_photo_3.jpg
-61.181608,14.699736,rivages_1476806722453_photo_4.jpg,2016:10:18 12:02:02,SAMSUNG SM-G357FZ,14.699736000000000,-61.181607999999997,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1476806722453_photo_4.jpg
-61.182205,14.701012,rivages_1476806722453_photo_5.jpg,2016:10:18 12:04:59,SAMSUNG SM-G357FZ,14.701012000000000,-61.182205000000003,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1476806722453_photo_5.jpg
-61.182206,14.701016,rivages_1476806722453_photo_6.jpg,2016:10:18 12:05:07,SAMSUNG SM-G357FZ,14.701015999999999,-61.182206000000001,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1476806722453_photo_6.jpg
-61.067696,14.601484,rivages_1476814667109_photo_1.jpg,2016:10:18 14:15:45,SAMSUNG SM-G357FZ,14.601483999999999,-61.067695999999998,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1476814667109_photo_1.jpg
-61.067693,14.601482,rivages_1476814667109_photo_2.jpg,2016:10:18 14:15:56,SAMSUNG SM-G357FZ,14.601482000000001,-61.067692999999998,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1476814667109_photo_2.jpg
-61.067329,14.60107,rivages_1476814667109_photo_3.jpg,2016:10:18 14:17:02,SAMSUNG SM-G357FZ,14.601070000000000,-61.067329000000001,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1476814667109_photo_3.jpg
-61.067324,14.601069,rivages_1476814667109_photo_4.jpg,2016:10:18 14:17:12,SAMSUNG SM-G357FZ,14.601069000000001,-61.067323999999999,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1476814667109_photo_4.jpg
-61.067476,14.601335,rivages_1476814997018_photo_1.jpg,2016:10:18 14:21:45,SAMSUNG SM-G357FZ,14.601335000000001,-61.067475999999999,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1476814997018_photo_1.jpg
-61.067477,14.601336,rivages_1476814997018_photo_2.jpg,2016:10:18 14:21:56,SAMSUNG SM-G357FZ,14.601336000000000,-61.067476999999997,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1476814997018_photo_2.jpg
-61.180554,14.697724,rivages_1478782595738_photo_1.jpg,2016:11:10 08:32:56,SAMSUNG SM-G357FZ,14.697723999999999,-61.180554000000001,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1478782595738_photo_1.jpg
-61.180649,14.698183,rivages_1478782595738_photo_2.jpg,2016:11:10 08:34:07,SAMSUNG SM-G357FZ,14.698183000000000,-61.180649000000003,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1478782595738_photo_2.jpg
-61.181053,14.698653,rivages_1478782595738_photo_3.jpg,2016:11:10 08:35:58,SAMSUNG SM-G357FZ,14.698653000000000,-61.181052999999999,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1478782595738_photo_3.jpg
-61.181061,14.698649,rivages_1478782595738_photo_4.jpg,2016:11:10 08:36:17,SAMSUNG SM-G357FZ,14.698649000000000,-61.181061000000000,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1478782595738_photo_4.jpg
